id,payor,payee,amount
613,Karl Mccosker,Mildred Lo,910.3
614,Martha Hubbard,Sara Menendez,32.544
615,Michelle Allen,Anna Austin,2.5
616,James Harris,Joan Kelly,6.3
617,Joann Fowlkes,James Asher,23.2
618,Bernice Galvan,Mimi Filion,9.6
619,Stephen Nettles,Mark Deubner,1.1
620,Sharlene Phelan,Marcus Nolan,5.1
621,Tatiana Patterson,Ryan Walter,9.9
622,Michael Ignacio,Christian Fannell,4.9
623,Michelle Allen,Nancy Longoria,1.7
624,Wilbert Cook,William Carnes,11.992
625,Jennifer Alley,Melinda Harr,111.7
626,Pamela Begay,Melissa Richards,6.1
627,Carolyn Burton,Donna Stallings,6.4
628,Troy Gowen,Peggy Duffy,0.4
629,Herman Rodriguez,Thomas Seay,50.0
630,Morton Gillette,Theodore Thomas,11.1
631,Claude Cox,Connie Gibson,8.4
632,Odelia Dent,Geneva Stevens,5.5
633,Ron Mckinney,Juan Curran,6.5
634,Janine Condon,Tim Rodriguez,6.6
635,Michael Pearce,Ryan Schroeder,0.3
636,Sheryl Vo,Sonia Snedegar,219.8
637,Kevin Dotter,Christine Williams,71.2
638,Raymond Rios,Robert Araujo,0.2
639,Lorenzo Castillo,Francis Lechleidner,2.6
640,Melanie Ellison,Lily Bergeson,0.9
641,Viola Ake,Anastasia Judd,2.0
642,Dorthy Kirtner,Gertrude Rizo,114.1
643,Ron Mckinney,Vicki Dawkins,4.4
644,Nancy Neubauer,Mary Thompson,0.4
645,Sandra Martin,Seth Bruni,7.8
646,Floyd Olson,Michael Jones,10.6
647,Jill Ferguson,Marilyn Timlin,5.2
648,Barry Nagase,Kathryn Hanlon,1.7
649,Emmett Anderson,Homer Peters,0.1
650,Gabriel Rodney,Melanie Ellison,59.8
651,Charles Gary,Dorothy Smith,3.5
652,David Finder,Jorge Talbot,1.1
653,Carl Sollars,Jose Janelle,57.9
654,Robert Sporle,Lorenzo Castillo,17.4
655,James Asher,Gloria Mcgowan,31.5
656,Maxine Perza,Richard Ayala,5.7
657,Royal Manciel,Robert Venegas,0.3
658,Ron Mckinney,James Becker,4.9
659,Helen Castrejon,Adeline Fullwood,7.1
660,Maria Martinez,Gary Wooley,0.7
661,Stanley Junkins,Karen Stoker,14.8
662,John Marquez,Roger Thomas,2.5
663,Elizabeth Langer,Albert Lemasters,1.9
664,Alexander Gibson,Matthew Thomas,11.275
665,Kurt Vagliardo,Melinda Harr,4.5
666,Sharon Cole,Sharon Cole,4.6
667,Juan Mckenna,Velma Anthony,26.1
668,Peggy Duffy,William Marlowe,1.9
669,Pearl Metzger,Hope Obregon,93.439
670,Craig Mann,Ida Kimbrough,145.3
671,Kathleen Carter,Mary Garcia,102.1
672,Johnathan Clark,Nia Green,9.3
673,Anthony Dube,Marcella Goodrich,460.4
674,Jennie Whittenberg,Jennifer Alley,12.959
675,Vincent Mooney,Tina Reinke,3.9
676,Steve Blackford,Marina Burger,11.668000000000001
677,Susan Walker,Kathryn Macy,5.2
678,Mike Jamison,Charles Gary,0.1
679,Raymond Walker,William Rogers,7.0
680,Frederick Randolph,Margaret Massey,845.9
681,Colene Edelman,Peggy Dowlin,2.5
682,Francis Lechleidner,William Sim,6.0
683,Justina Mclaine,Rita Thornton,9.8
684,Tammy Clement,Edward Ward,0.1
685,Francis Lilly,Stephanie Flowers,1.8
686,Michael Moore,David Kelley,0.1
687,Alice Shay,Amber Hicks,9.9
688,Frieda Tate,Thomas Miller,4.0
689,John Anderson,Teresa Erdmann,2.0
690,Steven Hilyer,Frederick Randolph,0.1
691,Linda Enriquez,Loretta Bond,2.4
692,Maria Kirkpatrick,Lucy Jeffcoat,217.3
693,Terry Hill,Joan Kelly,359.4
694,Melinda Harr,Donald Darley,6.9
695,James Duran,Jerome Tarbutton,8.4
696,Terry Abner,Constance Wells,5.5
697,Tim Zorn,Michelle Smith,2.7
698,Randal Sullivan,David Khan,2.1
699,Chelsea Randolph,Mary Lampman,2.1
700,James March,Clyde Garmon,4.2
701,Kevin Jones,Tad Olson,7.0
702,Gracie Johnson,Darnell Brown,632.6
703,Milagros Burroughs,Eugene Dickerson,370.5
704,Lawrence Rabb,Kevin Jones,25.2
705,Troy Gowen,Susan Mcgraw,7.0
706,Margaret Matsuda,Anna Hall,481.7
707,Susan Argabright,Mary Huro,8.6
708,Margaret Massey,Tracy Ramirez,127.35999999999999
709,Debra Rhodus,Tanya Henderson,1.7
710,James Duran,Lucy Bromley,3.3
711,William Szymanski,Michael Moore,8.1
712,Linda Cooper,Ronald Jones,62.5
713,Ruthann Tarrant,John Thomas,27.6
714,Lawanda West,Thomas Seay,0.4
715,Jill Ferguson,Beatrice Carey,2.4
716,Grace Matuszewski,Emmett Greathouse,6.6
717,Albert Lemasters,Jo Patterson,9.2
718,Edgar Whitmire,John Anderson,1.2
719,Linda Lavoie,Donald Perkins,6.2
720,Christopher Johnson,Leslie Hess,210.5
721,Ronald Turnbull,Priscilla Gibson,0.2
722,Kitty Cleek,Clarence Wooten,5.5
723,Randall Lopez,Alexander Huff,21.744
724,Doris Sampson,Todd Yocum,20.565
725,Randy Layne,Leslie Lai,32.3
726,Ricky Jinkens,Willis Alger,64.476
727,Michael Elkin,Carolyn Burton,48.427
728,Jason Goodrich,Laurette Iles,1.0
729,Wallace Wison,Amanda Harr,6.9
730,Julie Livingston,Michael Fuller,30.301
731,Ralph Ellis,Janet Martin,6.0
732,Constance Wells,Ralph Ellis,167.1
733,Lucy Jeffcoat,Mary Martin,24.59
734,David Lejeune,Christian Fannell,8.5
735,Barbara Martin,Gerardo Ogren,0.1
736,Bobby Cole,Cristobal Harris,0.1
737,Bruce Green,Gloria Coburn,3.7
738,Timothy Yarbrough,Phyllis Walter,0.8
739,Wyatt Wedel,Sarah Miller,6.6
740,Daniel Yannone,Janis Moree,35.1
741,Vincent Mooney,Carolyn Burton,69.8
742,Juan Curran,Gilbert Puryear,30.9
743,Diane Mcbride,Dwayne Shafer,394.7
744,Amy Brown,Margaret Massey,1.8
745,Billy West,Christopher Gilliam,0.2
746,Laura Olson,Christian Fannell,957.0
747,Jason Goodrich,Karen Stoker,4.5
748,Ada Mervis,Mack Clawson,61.0
749,Stacey Mcdonald,Johnathan Clark,1.3
750,Irma Copeland,Theresa Harrell,624.4
751,James Poindexter,Carolyn Burton,15.4
752,Susan Walker,Lyman Leiby,163.3
753,Theresa Lopez,Eric Chou,7.3
754,Alvin Runk,Bruce Green,8.8
755,Tina Reinke,Anthony Story,4.3
756,Delana Adkins,Ernestine Welsh,0.3
757,Mario Haman,Patricia Seals,9.9
758,Alicia Maier,James Finley,1.9
759,Edythe Wong,Troy Gowen,2.2
760,Marilyn Timlin,Teresa Milne,4.6
761,Delia Collis,Julio Vanscooter,98.5
762,Susan Mcgraw,Nick Leiva,12.91
763,Barbara Martin,Angela Campbell,1.5
764,Janet Boyd,Elizabeth Morris,0.4
765,Francis Lechleidner,Walter Huddleston,13.427000000000001
766,Curtis Garrison,Gabriel Rodney,0.1
767,William Markley,Margaret Quintero,2.5
768,David Khan,Robert Rich,4.1
769,Francisco Nguyen,Jaime Becerra,7.8
770,Leslie Hess,Raymond Samuel,27.8
771,Sharlene Phelan,Juan Lampkin,21.2
772,Brenda Houck,John Booker,2.2
773,Emmett Greathouse,Ian Shiver,2.4
774,Karen Peterson,Aldo Boggs,2.3
775,John English,Keli Opie,3.1
776,Diane Mcbride,Sarah Sanchez,0.5
777,Sherri Derby,Darrel Whitmer,4.1
778,Cindy Mooney,Inez Pam,4.3
779,Florence Wiles,Richard Ortiz,2.7
780,Edgar Whitmire,Mary Huro,13.9
781,Amanda Levings,Mary Gallagher,65.6
782,Walter Keller,Audrey Hall,37.922000000000004
783,Mable Gooch,Keli Opie,5.2
784,James Duran,Raymond Walker,7.0
785,Blaine Thomas,Janet Henry,0.3
786,Amanda Haynes,Katherine Hamilton,4.4
787,Edward Schaffer,Tatiana Patterson,0.3
788,Donna Stallings,Karen Fullwood,5.0
789,Lonnie Conley,Allison Washington,1.0
790,Joel Meadows,Marion Duncan,9.6
791,Bonnie Mathieu,Matthew Thomas,0.2
792,Marie Brown,Marie Brown,5.5
793,Kimberly Pino,Thelma Ervin,2.3
794,Billy Mccarrel,Barry Nagase,6.0
795,Suzette Marston,Raymond Samuel,5.0
796,Vida Aguilar,Michael Harris,943.7
797,Ron Mckinney,Sally Santiago,8.1
798,Kim Sprague,Richard Boudreau,20.6
799,Raymond Samuel,Shirley Cilley,10.9
800,Gary Rosales,Dustin Winn,13.6
801,Roger Thomas,Randy Layne,26.621
802,Vaughn Maresco,Walter Cathey,39.947
803,Raymond Samuel,Jacquelyn Bowers,220.1
804,Alexandra Morgan,Roger Boehle,10.2
805,William Carnes,James Sherrod,0.2
806,Robert Shippee,Pamela Begay,8.1
807,Avis Craft,William Smolen,2.0
808,Loretta Bond,Seema Jensen,27.7
809,Catherine Thomas,Katherine Hamilton,8.8
810,Kathryn Hanlon,Christopher Milla,1.6
811,Faye Obrien,Barbara Mcmahan,0.6
812,Kevin Dotter,Jane Billiot,3.4
813,Annie Ammons,David Khan,3.9
814,Harold Levan,Tatiana Broyles,7.1
815,Billy Mercado,Tim Rivera,9.1
816,Carol Spachtholz,Chelsea Randolph,7.3
817,James Suiter,Fredrick Escobar,0.4
818,Vaughn Maresco,Anthony Dube,39.3
819,Albert Lemasters,Robert Long,0.2
820,Gretta Rios,Annette Pacheo,0.3
821,James Simms,Antonio Richardson,0.2
822,Peter Castillo,Jane Liriano,7.2
823,Allen Wyse,Eric Portillo,3.4
824,Mary Leon,Joseph Wood,207.6
825,Jose Butler,Kathleen Carter,1.8
826,David Ryan,Robert Whetstine,1.4
827,Rita Ray,Jason Goodrich,9.9
828,Ethel Stehle,Machelle Mayer,4.0
829,Mary Clark,Ashley Cook,4.4
830,Tim Rodriguez,Rita Snider,1.6
831,William Bates,Edward Schaffer,0.1
832,Sarah Clark,Carol Edgehill,9.4
833,Bennie Diaz,Sharlene Phelan,2.3
834,Mary James,Lily Bergeson,3.6
835,Joseph Alfaro,Rosa Hines,111.2
836,Jennie Whittenberg,Geneva Stevens,615.5
837,Nancy Denton,Ralph Ellis,20.2
838,Jane Billiot,Maurice Schoenthal,1.2
839,Donald Gartin,Gretta Rios,8.8
840,Daniel Mosher,Patrick Gist,9.0
841,Stephen Faust,Kenneth Wiles,10.3
842,James Finley,Harold Levan,1.8
843,Erin Dawkins,Tammy Clement,0.3
844,Jimmy Winfrey,Edward Ward,0.6
845,Christopher Chaffee,Philomena Davison,9.3
846,William Duarte,Nellie Mason,32.7
847,Eugene Dickerson,Theresa Lopez,248.1
848,Jeffrey Mosley,Marie Simons,37.9
849,Alice Pickup,Roger Boehle,3.8
850,Mary Luvene,Justina Mclaine,13.6
851,Joseph Wood,Eula Blasko,0.2
852,David Ryan,Marian Vasmadjides,6.0
853,David Allen,Michael Kilman,7.1
854,Don Reed,Mark Bucher,4.1
855,Dennis Anderson,Patricia Huey,2.4
856,James Green,Lawanda West,2.3
857,Timothy Yarbrough,James Roling,95.702
858,Juan Mckenna,Adam Samaroo,407.6
859,Carol West,Maria Reny,612.9
860,Patrick Gist,Charlene Woody,0.1
861,Joshua Morris,Troy Gowen,3.1
862,Raymond Walker,Michael Kilman,0.1
863,David Yang,Anthony Story,3.5
864,Mary Lampman,Amber Buchanan,3.6
865,Anastasia Judd,Sarah Mendoza,53.6
866,Robert Wheeler,Nancy Denton,9.5
867,Barbara Thompson,Brenda Chapen,17.3
868,David Kelley,Amanda Haynes,2.8
869,Stephen Moss,Joseph Wood,4.0
870,Pamela Quist,Elaine Taylor,0.1
871,Viola Ake,Alex Ponce,9.9
872,Aaron Massman,Joseph Tillery,1.5
873,Gary Weston,Dolly Rainey,0.2
874,Julie Reinking,Henry Noah,56.4
875,Maurice Hendrie,Daniel Bivins,6.2
876,David Jackson,Robert Whetstine,0.9
877,James Poindexter,Joann Fowlkes,7.8
878,Margaret Matsuda,Bonnie Mathieu,9.0
879,Rosita Simpson,Eugene Dickerson,625.0
880,Mike Jamison,Anastasia Proctor,564.5
881,Charles Gary,Jamie Reinwald,9.7
882,David Cobb,Francisco Nguyen,252.3
883,Brenda Chapen,Maria Martinez,0.8
884,Maria Martinez,Kim Sprague,0.3
885,James Roling,Mary Martin,2.1
886,Leroy Stovall,Oscar Sheets,1.7
887,Homer Peters,Diane Watts,1.0
888,Mary Pepper,Naomi Lee,2.8
889,Linda Cooper,Jennie Whittenberg,744.3
890,Juan Mckenna,Erich Gaines,0.1
891,Maria Reny,Tanya Duffy,2.9
892,William Lovelace,Julius Armes,0.1
893,Jennifer Alley,Vi Seawright,489.5
894,Sharon Cole,Stephen Gary,0.1
895,Alvin Runk,Thomas Vargas,11.548
896,Carlos Fields,Teresa Anderson,122.2
897,Randall Lopez,Michael Plank,2.9
898,Michael Crouse,Marie Brown,0.0
899,Phyllis Walter,Adeline Fullwood,0.9
900,Jose Butler,Michael Navarro,147.8
901,Elaine Jines,April Broten,1.3
902,Cherie Begay,Michael Cross,0.5
903,Debra Segura,Carl Sollars,27.1
904,James Schwab,Stanley Matthews,243.3
905,Lavina Blankenship,Mark Bucher,663.9
906,Raymond Samuel,Thomas Seay,0.1
907,Kathryn Macy,Dolly Rainey,403.9
908,Allan Strain,Rosita Simpson,5.0
909,Kathy Pendergraph,Jorge Talbot,42.303
910,Susan Argabright,Machelle Mayer,2.3
911,David Cross,Ronald Patel,1.9
912,Jimmy Winfrey,Norbert Sokoloski,0.2
913,Josephine Dodson,Stephen Moss,1.0
914,Patsy Olson,Angela Campbell,35.1
915,Nicole Stalling,Margaret Matsuda,21.3
916,Pearl Metzger,Matthew Thomas,348.4
917,Rebecca Sheneman,Stephan Santamaria,9.5
918,Brent Rowan,Christopher Gilliam,16.6
919,Christopher Skidmore,Linda Burris,1.4
920,Teresa Anderson,Ina Scoby,0.4
921,Margaret Rossi,Laura Olson,2.6
922,Virginia Earvin,Mable Gooch,3.9
923,Alfred Doran,Pauline Winstead,84.8
924,Terry Lizarraga,Patrick Toupin,4.6
925,Roxy Burdock,Janet Henry,0.6
926,Amanda Harr,Pauline Winstead,6.9
927,Marilyn Larkin,Lucy Jeffcoat,2.6
928,Terry Smith,Christopher Strong,13.0
929,Sandra Fisher,Thomas Melito,2.3
930,James Sherrod,Tatiana Broyles,0.2
931,Samantha Slade,Cristobal Harris,3.6
932,Ann Donaldson,Kurt Vagliardo,6.7
933,Christopher Chaffee,Norbert Sokoloski,14.9
934,Theresa Lopez,Ron Mckinney,552.7
935,Steven Cassem,Christopher Skidmore,27.0
936,Clyde Garmon,Maria Kirkpatrick,0.1
937,June Smith,David Miller,0.6
938,Fredric Barnes,Nicole Stalling,45.327999999999996
939,Theresa Govea,Antonio Harness,0.2
940,Charles Robinson,Ann Donaldson,5.0
941,Bobby Cole,Roger Thomas,2.0
942,Mable Moldenhauer,Thomas Vargas,0.1
943,Edythe Wong,Michael Ignacio,106.7
944,Sandra Dillingham,David Khan,0.4
945,Kenneth Abreu,Benjamin Brown,7.5
946,Jackie Guthrie,Marvin Reitmeier,170.7
947,Priscilla Gibson,Tracy Ramirez,2.7
948,Anthony King,William Marlowe,2.9
949,Connie Smith,Annie Quick,0.6
950,Cindy Martin,Jeffrey Lewis,6.6
951,Christopher Hyatt,Keith Jones,8.3
952,Luciana Vicars,Daniel Yannone,3.7
953,Douglas Davis,Beth Forbes,3.8
954,Amber Hicks,Blake Hawkins,28.5
955,Dianna Torry,Christine Williams,0.6
956,Mike Ferguson,Curtis Garrison,9.2
957,Sally Lamb,Roberto Murray,5.5
958,Earle Johnson,Marian Vasmadjides,5.4
959,Linda Wolfe,Dave Burke,9.5
960,Dwayne Shafer,Raymond Taggart,0.5
961,Diane Mcbride,David Yang,3.4
962,Tammy Clement,Christopher Lindsey,7.0
963,Nicole Stalling,Joel Turner,0.1
964,Matthew Thomas,Jerome Tarbutton,0.1
965,Maurice Schoenthal,Curtis Garrison,2.6
966,Michael Taylor,Ryan Walter,4.8
967,Jennifer Estes,Stephen Faust,0.2
968,Jesus Klein,Dale Robinson,8.5
969,James Finley,Willis Wilson,0.8
970,Landon Lindsey,Jimmy Lopez,83.5
971,Kenneth Wiles,Jonelle Cain,4.1
972,Alfred Doran,Stacey Mcdonald,6.3
973,Aldo Boggs,Joann Bay,0.7
974,Susana Abney,Eric Portillo,0.4
975,Edythe Wong,Patrick Gist,5.3
976,Gwen Young,Theresa Harrell,1.7
977,Tim Zorn,Teresa Milne,1.1
978,Edward Johnson,Robert Whetstine,3.3
979,Candace Lee,Robert Venegas,19.306
980,James Schwab,Joann Fowlkes,0.0
981,Elizabeth Brown,Jo Patterson,4.9
982,Jennifer Sharp,Donna Goodwin,354.7
983,Lisa Weaver,James Bailey,2.3
984,Machelle Mayer,Jamie Reinwald,5.3
985,Keith Jones,Virginia Moss,1.7
986,Joseph Alfaro,Dwayne Blau,399.5
987,Douglas Davis,David Miller,0.7
988,Bruce Green,Troy Cervantes,11.692
989,Barbara Juneau,Robert Long,8.0
990,Ernestine Welsh,Annette Pacheo,30.43
991,Thelma Ervin,Vicki Dawkins,958.7
992,Leslie Hess,Helen Silmon,374.7
993,Mary Wilson,Donna Stallings,4.3
994,Maurice Hendrie,Sharon Wilson,15.6
995,Darnell Brown,Brandon Batiste,1.3
996,Donald Irwin,Maurice Hendrie,274.6
997,Walter Keller,Beverly Beebe,8.2
998,Jamie Reinwald,Willis Wilson,8.8
999,John English,Casandra Queen,0.1
1000,Gabriel Rodney,Candace Lee,74.1
1001,Joseph Hedgepeth,Jana Landers,7.0
1002,Robert Shippee,Patricia Pierre,5.0
1003,Kathleen Hoffman,Tad Olson,45.7
1004,Joshua Sexton,Shaun Gonzalez,0.2
1005,Don Reed,William Rogers,3.2
1006,Amy Salvador,Laura Cochran,0.1
1007,Tim Rodriguez,Inez Pam,4.8
1008,Jorge Talbot,Candace Moreland,12.133
1009,Ada Mervis,Billy Mccarrel,12.9
1010,William Mason,Jeremiah Kopacz,5.2
1011,Seema Jensen,Joel Meadows,9.9
1012,Gertrude Rizo,Ada Mervis,5.5
1013,Lisa Rodriguez,Adam Samaroo,3.2
1014,Mary Keister,Amber Wilson,5.4
1015,Johnathon Block,Vida Aguilar,0.8
1016,Claudia Gratz,Melissa Richards,97.4
1017,Cherie Begay,Laurette Iles,4.3
1018,Susana Abney,Theresa Harrell,0.5
1019,Sandra Martin,Michael Patrick,6.7
1020,Daniel Charles,Jane Billiot,6.2
1021,Nick Csaszar,Kevin Jones,205.3
1022,Patricia Seals,Stephen Gary,5.9
1023,Sandra Mcneil,Emilia Price,249.6
1024,Amy Barkley,Elizabeth Brown,49.6
1025,Anthony Story,Patrick Toupin,7.2
1026,Richelle Willis,Shirley Mccombs,5.6
1027,Jennifer Caldon,Thomas Seay,1.8
1028,Edward Schaffer,Ryan Walter,577.8
1029,Richard Linton,Isaac Helmes,0.3
1030,Jennifer Mcafee,Derek Fisher,0.1
1031,Lorenzo Castillo,Christopher Milla,1.9
1032,Barbara Aguilar,Chelsea Randolph,45.559
1033,Linda Scruggs,Aldo Boggs,74.6
1034,Robert Garo,Teri Homer,0.6
1035,Edna Martin,Francisco Nguyen,0.7
1036,Amanda Haynes,Derek Eaton,7.2
1037,James Finley,Marvin Reitmeier,4.2
1038,Michael Wilkinson,Brent Rowan,2.0
1039,Vickie Johnson,Sally Santiago,8.0
1040,Erin Dawkins,Ernest Herrera,38.0
1041,Samantha Reyes,Johnny Atwood,4.1
1042,Lorenzo Castillo,Morgan Rowland,22.921
1043,Kimberly Coston,Donna Goodwin,45.3
1044,Annette Pacheo,Robert Araujo,8.8
1045,Marian Vasmadjides,Rita Wilson,10.9
1046,Michael Wilkinson,Randall Lopez,4.0
1047,Connie Smith,Suzanne Hines,40.0
1048,Cynthia Johnson,Eugene Dickerson,0.1
1049,Oscar Sheets,David Miller,5.3
1050,Marcella Goodrich,Alvin Lawrence,3.0
1051,Isaac Raio,David Brochu,215.7
1052,Shawn Harper,Ruthann Tarrant,43.4
1053,Ryan Walter,Jennie Whittenberg,5.0
1054,Becky Armstrong,Michael Wilkinson,6.2
1055,Gloria Mcgowan,Calvin Hough,1.0
1056,Loretta Bond,Dustin Winn,1.2
1057,Grace Matuszewski,Roxy Burdock,864.2
1058,George Kassin,Patricia Huey,144.5
1059,Julia Roberts,Loretta Bond,0.8
1060,Tad Olson,Delpha Stanley,12.24
1061,Adam Crum,Kurt Vagliardo,454.9
1062,Joseph Wood,Herman Rodriguez,121.5
1063,Amy Salvador,Annie Quick,4.7
1064,Sandra Fisher,Ronald Turnbull,0.3
1065,David Khan,Gabriel Rodney,0.1
1066,Lyman Leiby,Teresa Milne,0.3
1067,Maurice Hendrie,Breanna Kitt,0.1
1068,Michael Navarro,Margaret Rossi,3.0
1069,Amy Brown,William Mcginty,6.4
1070,William Duarte,Lawanda West,2.6
1071,Quintin Fields,Grace Jones,0.4
1072,Raymond Walker,Jeremy Gomez,0.9
1073,Donna Stallings,Anthony Story,0.1
1074,Jaime Becerra,Sandra Martin,4.8
1075,Roxy Burdock,Leslie Lai,16.633000000000003
1076,Tanya Henderson,Janet Coles,181.4
1077,Connie Smith,Rosita Simpson,2.5
1078,Lai Gardner,Melanie Ellison,9.1
1079,Barbara Aguilar,Mary Clark,6.3
1080,Gertrude Rizo,Jean Oglesby,0.1
1081,Karen Fullwood,Susan Tupper,2.1
1082,Amy Barkley,Edward Schaffer,294.1
1083,Darrel Whitmer,Mary Lebeau,0.2
1084,Jeremy Gomez,Darren Feliciano,1.5
1085,John Herman,Shirley Cilley,6.0
1086,Ralph Ellis,Juan Bowen,1.9
1087,Alexander Huff,Patricia Pierre,0.2
1088,Curtis Garrison,Mary Wilson,0.8
1089,Kenneth Wiles,Geneva Stevens,367.1
1090,Dolly Rainey,Susan Perez,0.7
1091,Janet Martin,Ada Mervis,4.7
1092,Marguerite Roe,Pamela Marshall,7.5
1093,Donald Perkins,James Suiter,111.1
1094,Sally Oneill,Ruth Quezada,0.2
1095,Morgan Rowland,Paul Kirkland,206.8
1096,Tad Olson,David Weisner,19.928
1097,Curtis Garrison,June Smith,3.3
1098,Pamela Wilson,Paul Jefferson,6.8
1099,Terri Carson,Christopher Johnson,20.288
1100,Raymond Lewis,Anna Mcfarling,7.2
1101,Mark Jeffries,Kimberly Stone,25.1
1102,Naomi Lee,Petra Ingram,400.8
1103,Allan Strain,Vaughn Maresco,726.8
1104,Tressa Conde,Josephine Dodson,6.5
1105,Martha Hubbard,Seth Bruni,0.1
1106,Jennie Whittenberg,Vincent Mooney,0.6
1107,Juan Mckenna,Daniel Charles,9.2
1108,David Yang,Gloria Larson,5.2
1109,Shaun Gonzalez,Paul Burke,6.1
1110,Rodrigo Jones,Michael Emory,3.0
1111,Willis Wilson,Shirley Cilley,1.3
1112,Diane Pacheco,Steven Hilyer,9.1
1113,Josephine Dodson,Frederick Randolph,6.4
1114,Nicole Chisum,Thomas Whitney,0.8
1115,William Duarte,James Schwab,1.4
1116,Nancy Neubauer,Stacey Mcdonald,3.1
1117,Mary Lebeau,Richard Ortiz,223.7
1118,Michael Stickfort,Marina Burger,7.8
1119,Michael Edwards,Mable Gooch,6.6
1120,Susana Abney,Charlene Woody,3.9
1121,Roberto Murray,Michael Crouse,9.2
1122,John Shotwell,Marian Vasmadjides,6.6
1123,Rodrick Moore,Barbara Juneau,0.3
1124,Aaron Massman,Debra Rhodus,17.1
1125,Francis Lilly,Nancy Neubauer,0.1
1126,Joshua Sexton,Dale Stradley,62.614999999999995
1127,Frieda Tate,Julie Livingston,0.7
1128,Rachel Mula,Helen Castrejon,7.3
1129,Matthew Bacon,Clarence Wooten,9.6
1130,Rodrick Moore,Kathleen Hoffman,0.2
1131,Mike Peak,Warren Cunningham,0.1
1132,William Zook,Michael Moore,81.243
1133,Joseph Hood,Barbara Aguilar,0.1
1134,Juan Curran,Doris Rogers,1.1
1135,Brent Rowan,Stefani Brandenburg,3.7
1136,Dionna Gough,Joseph Grimm,304.7
1137,Annie Quick,Rosa Hines,26.4
1138,Rafael Camargo,Jennifer Alley,0.3
1139,Claudia Gratz,Betty Tawwater,1.0
1140,Isaac Helmes,Sandra Fisher,208.4
1141,Donna Fortin,Daniel Mosher,0.1
1142,Dale Taylor,Becky Armstrong,1.0
1143,Laura Olson,Tad Olson,26.3
1144,Charles Gary,Karen Stoker,616.8
1145,Sherri Derby,Alice Pickup,0.9
1146,Mary Gallagher,Joseph Tillery,9.1
1147,Alicia Maier,Amber Wilson,9.4
1148,Rodrigo Jones,Tammy Clement,46.0
1149,James Finley,April Broten,6.5
1150,Ronald Wright,Tara Hudson,48.2
1151,Hobert Ventura,Gayle Devine,257.4
1152,Jimmy Winfrey,Sarah Miller,2.7
1153,Richard Linton,Todd Yocum,1.7
1154,Teri Homer,Cynthia Hollomon,2.2
1155,Mark Williams,Mary Garcia,10.7
1156,Tressa Conde,Wyatt Wedel,0.3
1157,Nancy Neubauer,Emilia Price,0.3
1158,Luis Whalen,Sergio Rowland,794.5
1159,Sharlene Phelan,Joseph Davis,5.8
1160,Dolly Rainey,Mary Wilson,1.4
1161,Christian Fannell,Donald Ott,191.6
1162,Roger Marshall,Robert Venegas,1.4
1163,Karl Mccosker,June Davis,5.3
1164,Ron Mckinney,Matthew Horton,125.2
1165,Milagros Burroughs,Michael Peterson,127.0
1166,Alvin Miller,Raymond Lewis,6.1
1167,Fernando Woods,Bennie Diaz,0.3
1168,Mack Clawson,Sheryl Vo,3.2
1169,Sharon Wilson,Luciana Vicars,1.8
1170,William Grant,Carla Basham,151.5
1171,Luis Whalen,Alice Shay,89.8
1172,Kimberly Coston,Amy Barkley,10.2
1173,John Marquez,Helen Terhune,31.823
1174,Michelle Smith,Ricky Jinkens,7.8
1175,Eric Chou,James Simms,15.732
1176,Aaron Young,Mark Bucher,0.5
1177,William Szymanski,Pamela Wilson,0.4
1178,Carol Sellner,Robert Sporle,2.5
1179,Terri Carson,Benny Legere,8.3
1180,Lucy Bromley,David Yang,0.7
1181,Terri Hernandez,Robin Shelton,239.7
1182,Kendall Hall,Linda Burris,2.6
1183,Debbie Reynolds,Scott Arredondo,35.2
1184,Charles Yap,Michael Plank,1.2
1185,Mario Haman,Naomi Lee,9.8
1186,Patricia Huey,Donna Lemelin,15.784
1187,Christopher Hyatt,Mike Penn,10.8
1188,Isaac Helmes,Douglas Finnie,1.3
1189,Nia Green,Patricia Long,0.8
1190,Mary Thompson,Margaret Rossi,13.1
1191,Anthony Barajas,Angela Campbell,29.6
1192,Alvin Lawrence,Kathy Pendergraph,6.7
1193,Luis Whalen,Sarah Norton,30.3
1194,Karen Fullwood,Mary Martin,6.0
1195,Alice Shay,Celeste Lowman,102.0
1196,Joseph Tyler,Joseph Cohen,0.2
1197,Marguerite Roe,Jennifer Alley,9.8
1198,Raymond Walker,Nicole Chisum,0.9
1199,Ronald Turnbull,Gary Weston,33.644999999999996
1200,Diane Pacheco,Jane Billiot,1.3
1201,Rebecca Trogdon,Annette Pacheo,140.3
1202,Margaret Rossi,Samantha Mellerson,5.2
1203,Jean Goldfarb,Henry Lawler,85.4
1204,Ronald Herriman,Lena Patterson,0.8
1205,Willie Webster,James Asher,8.0
1206,Robert Grissom,Carl Sollars,2.3
1207,Dolores Roy,Florence Wiles,10.5
1208,Patrick Toupin,Sally Lamb,12.2
1209,Samantha Slade,Margaret Matsuda,7.6
1210,Margaret Rossi,Sarah Mendoza,19.0
1211,Karen Stoker,Tina Muncie,1.1
1212,Tina Reinke,Marshall Canpos,18.9
1213,Paul Jefferson,Timothy Yarbrough,1.4
1214,Henry Kunz,Eugene Dickerson,0.1
1215,Paul Jefferson,Maurice Schoenthal,34.0
